onetopid,auth_link
f-sf~bay~area~rg~rt,https://511.org/open-data/token
f-9q-easternsierra~ca~us~rt~alerts,https://goswift.ly/realtime-api-key
f-9qhc-beaumont~ca~us~rt~alerts,https://goswift.ly/realtime-api-key
f-9xj5s-viamobilityservices~rt~alerts,https://goswift.ly/realtime-api-key
f-abqride~rt~alerts,https://goswift.ly/realtime-api-key
f-ata~bus~ks~rt~alerts,https://goswift.ly/realtime-api-key
f-avalon~ca~rt~alerts,https://goswift.ly/realtime-api-key
f-baytowntrolley~fl~rt~alerts,https://goswift.ly/realtime-api-key
f-brightline~fl~us~rt~alerts,https://goswift.ly/realtime-api-key
f-capitalmetro~rt~alerts,https://goswift.ly/realtime-api-key
f-central~transit~wa~rt~alerts,https://goswift.ly/realtime-api-key
f-cuboulder~rt~alerts,https://goswift.ly/realtime-api-key
f-dcstreetcar~rt~alerts,https://goswift.ly/realtime-api-key
f-dqc-thebusofprincegeorgescounty~rt~alerts,https://goswift.ly/realtime-api-key
f-dqcq-regionaltransportationagencyofcentralmaryland~rt~alerts,https://goswift.ly/realtime-api-key
f-dr0b-transitservicesoffrederickcounty~rt~alerts,https://goswift.ly/realtime-api-key
f-dru-vttranslines~vt~us~rt~alerts,https://goswift.ly/realtime-api-key
f-goose~creek~transit~rt~alerts,https://goswift.ly/realtime-api-key
f-indygo~rt~alerts,https://goswift.ly/realtime-api-key
f-lasvegasloop~nv~us~rt~alerts,https://goswift.ly/realtime-api-key
f-lubbock~tx~us~rt~alerts,https://goswift.ly/realtime-api-key
f-miamibeach~rt~alerts,https://goswift.ly/realtime-api-key
f-miamidadetransit~rt~alerts,https://goswift.ly/realtime-api-key
f-nevadacountygoldcountrystage~rt~alerts,https://goswift.ly/realtime-api-key
f-northcountrytransitdistrict~rt~alerts,https://goswift.ly/realtime-api-key
f-qline~mi~rt~alerts,https://goswift.ly/realtime-api-key
f-redwood~coast~transit~rt~alerts,https://goswift.ly/realtime-api-key
f-rtcsnv~rt~alerts,https://goswift.ly/realtime-api-key
f-smart~mi~rt~alerts,https://goswift.ly/realtime-api-key
f-tahoe~ca~rt~alerts,https://goswift.ly/realtime-api-key
f-auckland~transport~rt,https://dev-portal.at.govt.nz
f-u2m-bkk~rt,https://opendata.bkk.hu/data-sources
f-r1-ptv~buses~rt,https://data-exchange.vicroads.vic.gov.au/docs/services/vehicle-position-trip-update-opendata/operations/metro-bus-trip-updates
f-r1-ptv~trains~rt,https://data-exchange.vicroads.vic.gov.au/docs/services/vehicle-position-trip-update-opendata/operations/metro-train-service-alerts
f-u1-delijn~rt,https://data.delijn.be/signup
f-trimet~rt,https://developer.trimet.org/GTFS.shtml
f-dr5re-downtownalliance~rt,downtownny.com.dmfr.json
f-embarknorman~ok~rt,https://embarkok.com/business/developer-resources/developer-registration
f-exo~reseaudetransportmetropolitain~rt,https://exo.quebec/en/about/open-data/RequestAccessForm
f-f25-exo~citsorel~varennes~rt,https://exo.quebec/en/about/open-data/RequestAccessForm
f-f253-exo~citsud~ouest~rt,https://exo.quebec/en/about/open-data/RequestAccessForm
f-f256-exo~citlapresquîle~rt,https://exo.quebec/en/about/open-data/RequestAccessForm
f-f257-exo~citlaurentides~rt,https://exo.quebec/en/about/open-data/RequestAccessForm
f-f259-exo~citduhaut~saint~laurent~rt,https://exo.quebec/en/about/open-data/RequestAccessForm
f-f25d-exo~richelain~roussillon~rt,https://exo.quebec/en/about/open-data/RequestAccessForm
